,nx,nr,nt,np,x,r,t,p,w,wj,x_deg,p_deg,t_deg
950,5,1,2,2,0.523598776,5.816195136,0.102908436,-0.134791541,0.000298172,0.001734226,30,-7.722986411,84.09332403
951,5,1,2,3,0.523598776,5.816195136,0.102908436,0.134791541,0.000298172,0.001734226,30,7.722986411,84.09332403
952,5,1,2,4,0.523598776,5.816195136,0.102908436,0.361541345,0.000203386,0.001182935,30,20.71479317,84.09332403
953,5,1,2,5,0.523598776,5.816195136,0.102908436,0.472568889,3.58E-05,0.000208369,30,27.07620289,84.09332403
954,5,1,3,0,0.523598776,5.816195136,0.185040568,-0.387334829,2.94E-05,0.000170787,30,-22.19265094,79.33650242
955,5,1,3,1,0.523598776,5.816195136,0.185040568,-0.296332573,0.000166703,0.000969577,30,-16.97860576,79.33650242
956,5,1,3,2,0.523598776,5.816195136,0.185040568,-0.110480101,0.000244393,0.001421436,30,-6.330043484,79.33650242
957,5,1,3,3,0.523598776,5.816195136,0.185040568,0.110480101,0.000244393,0.001421436,30,6.330043484,79.33650242
958,5,1,3,4,0.523598776,5.816195136,0.185040568,0.296332573,0.000166703,0.000969577,30,16.97860576,79.33650242
959,5,1,3,5,0.523598776,5.816195136,0.185040568,0.387334829,2.94E-05,0.000170787,30,22.19265094,79.33650242
960,5,1,4,0,0.523598776,5.816195136,0.254122961,-0.237619797,1.23E-05,7.15E-05,30,-13.6146115,75.27837729
961,5,1,4,1,0.523598776,5.816195136,0.254122961,-0.181792291,6.98E-05,0.000405726,30,-10.41593101,75.27837729
962,5,1,4,2,0.523598776,5.816195136,0.254122961,-0.067776655,0.000102268,0.00059481,30,-3.883316283,75.27837729
963,5,1,4,3,0.523598776,5.816195136,0.254122961,0.067776655,0.000102268,0.00059481,30,3.883316283,75.27837729
964,5,1,4,4,0.523598776,5.816195136,0.254122961,0.181792291,6.98E-05,0.000405726,30,10.41593101,75.27837729
965,5,1,4,5,0.523598776,5.816195136,0.254122961,0.237619797,1.23E-05,7.15E-05,30,13.6146115,75.27837729
